Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
Rosneft,Energy,Oil & Gas Operations,Asia,Russia,70,142.6,12.8,229.4,34,http://www.forbes.com/companies/rosneft/,0.0557977332170881,0.0897615708274895
IBM,Information Technology,Computer Services,North America,United States,202.5,99.8,16.5,126.2,35,http://www.forbes.com/companies/ibm/,0.130744849445325,0.165330661322645
Nestle,Consumer Staples,Food Processing,Europe,Switzerland,239.6,99.4,10.8,135.4,36,http://www.forbes.com/companies/nestle/,0.0797636632200886,0.108651911468813
Mitsubishi UFJ Financial,Financials,Major Banks,Asia,Japan,77.7,48.6,11.3,2458.9,37,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.00459555085607385,0.232510288065844
Vodafone,Telecommunication Services,Telecommunications services,Europe,United Kingdom,96.9,65.1,31.8,235.6,38,http://www.forbes.com/companies/vodafone/,0.134974533106961,0.488479262672811
Eni,Energy,Oil & Gas Operations,Europe,Italy,90.9,152.7,6.9,186.6,39,http://www.forbes.com/companies/eni/,0.0369774919614148,0.0451866404715128
Procter & Gamble,Consumer Staples,Household/Personal Care,North America,United States,217.8,84.7,10.9,142.9,40,http://www.forbes.com/companies/procter-gamble/,0.0762771168649405,0.128689492325856
Johnson & Johnson,Health Care,Medical Equipment & Supplies,North America,United States,277,71.3,13.8,132.7,41,http://www.forbes.com/companies/johnson-johnson/,0.103993971363979,0.193548387096774
American International Group,Financials,Diversified Insurance,North America,United States,73.2,68.1,9.1,540.7,42,http://www.forbes.com/companies/american-international-group/,0.0168300351396338,0.133627019089574
Banco Santander,Financials,Major Banks,Europe,Spain,112.3,52.5,5.8,1537.3,43,http://www.forbes.com/companies/banco-santander/,0.00377284850061797,0.11047619047619
BHP Billiton,Materials,Diversified Metals & Mining,Australia,Australia,182.3,67.7,14.8,151,44,http://www.forbes.com/companies/bhp-billiton/,0.0980132450331126,0.218611521418021
Pfizer,Health Care,Pharmaceuticals,North America,United States,203.9,52.7,22,172.1,45,http://www.forbes.com/companies/pfizer/,0.127832655432888,0.417457305502846
Itaú Unibanco Holding,Financials,Major Banks,South America,Brazil,74.9,67.2,7.6,435.4,46,http://www.forbes.com/companies/itau-unibanco-holding/,0.0174552135966927,0.113095238095238
Ford Motor,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,64.5,146.9,7.2,202,47,http://www.forbes.com/companies/ford-motor/,0.0356435643564356,0.0490129339686862
BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101,7.1,190.7,48,http://www.forbes.com/companies/bmw-group/,0.0372312532773991,0.0702970297029703
Commonwealth Bank,Financials,Major Banks,Australia,Australia,114.5,41.5,7.9,699.9,49,http://www.forbes.com/companies/commonwealth-bank/,0.0112873267609659,0.190361445783133
EDF,Utilities,Electric Utilities,Europe,France,75.8,100.4,4.5,353.9,50,http://www.forbes.com/companies/edf/,0.0127154563435999,0.0448207171314741
Statoil,Energy,Oil & Gas Operations,Europe,Norway,89.2,105.2,6.8,146,51,http://www.forbes.com/companies/statoil/,0.0465753424657534,0.064638783269962
Google,Information Technology,Computer Services,North America,United States,382.5,59.7,12.2,110.9,52,http://www.forbes.com/companies/google/,0.110009017132552,0.204355108877722
Siemens,Industrials,Conglomerates,Europe,Germany,114.2,99.7,6,140.1,53,http://www.forbes.com/companies/siemens/,0.0428265524625268,0.0601805416248746
Novartis,Health Care,Pharmaceuticals,Europe,Switzerland,227.4,57.9,9.2,126.3,54,http://www.forbes.com/companies/novartis/,0.0728424386381631,0.158894645941278
Royal Bank of Canada,Financials,Major Banks,North America,Canada,95.7,37.8,8,811.4,55,http://www.forbes.com/companies/royal-bank-of-canada/,0.0098595020951442,0.211640211640212
Sumitomo Mitsui Financial,Financials,Major Banks,Asia,Japan,58.6,46.2,9.7,1494.7,56,http://www.forbes.com/companies/sumitomo-mitsui-financial/,0.00648959657456346,0.20995670995671
Comcast,Consumer Discretionary,Broadcasting & Cable,North America,United States,130,64.7,6.8,158.8,57,http://www.forbes.com/companies/comcast/,0.0428211586901763,0.105100463678516
Sberbank,Financials,Regional Banks,Asia,Russia,51.5,56.5,11.4,554.2,58,http://www.forbes.com/companies/sberbank/,0.0205701912666907,0.201769911504425
Goldman Sachs Group,Financials,Investment Services,North America,United States,75.1,39.5,8,911.5,59,http://www.forbes.com/companies/goldman-sachs-group/,0.00877674163466813,0.20253164556962
Westpac Banking Group,Financials,Major Banks,Australia,Australia,99,38.4,6.8,651.4,60,http://www.forbes.com/companies/westpac-banking/,0.0104390543444888,0.177083333333333
Nippon Telegraph & Tel,Telecommunication Services,Telecommunications services,Asia,Japan,61,110.7,5.7,189.3,61,http://www.forbes.com/companies/nippon-tel-tel/,0.0301109350237718,0.0514905149051491
Ping An Insurance Group,Financials,Diversified Insurance,Asia,China,66.1,59,4.6,552.8,62,http://www.forbes.com/companies/ping-an-insurance/,0.00832127351664255,0.0779661016949152
Banco Bradesco,Financials,Regional Banks,South America,Brazil,58.5,74.1,5.6,384.9,63,http://www.forbes.com/companies/banco-bradesco/,0.0145492335671603,0.0755735492577598
Anheuser-Busch InBev,Consumer Staples,Beverages,Europe,Belgium,171.2,43.2,14.5,141.7,64,http://www.forbes.com/companies/anheuser-busch-inbev/,0.102328863796754,0.335648148148148
Bank of Communications,Financials,Major Banks,Asia,China,48.7,46.6,10.1,942.2,65,http://www.forbes.com/companies/bank-of-communications/,0.010719592443218,0.216738197424893
China Life Insurance,Financials,Life & Health Insurance,Asia,China,79.8,68.4,4,327.2,66,http://www.forbes.com/companies/china-life-insurance/,0.0122249388753056,0.0584795321637427
General Motors,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,54.6,155.4,5.3,166.3,67,http://www.forbes.com/companies/general-motors/,0.031870114251353,0.0341055341055341
Telefónica,Telecommunication Services,Telecommunications services,Europe,Spain,71.8,75.8,6.1,163.8,68,http://www.forbes.com/companies/telefonica/,0.0372405372405372,0.0804749340369393
MetLife,Financials,Diversified Insurance,North America,United States,60,71,3.4,885.3,69,http://www.forbes.com/companies/metlife/,0.00384050604314922,0.047887323943662
